awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review,type
The Tabelog Award 2024 Bronze 受賞店,SATOブリアン にごう,阿佐ケ谷駅 178m , 焼肉,☆お席残りわずか☆12月の通常予約受付開始します★ ご予約は公式サイトよりご予約下さい！,"￥15,000～￥19,999","￥15,000～￥19,999",4.02,月曜日,https://tabelog.com/tokyo/A1319/A131905/13159782/,予約可,,阿佐ヶ谷駅すぐ 阿佐ケ谷駅から178m,15:00 - 22:00,■ 定休日3月のお休み⇨4、11、12、13、17、18、25、,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.704816338660024,139.6376748847129",不明の為情報お待ちしております,東京都杉並区阿佐ヶ谷南2-17-2 ,915,yakiniku
The Tabelog Award 2024 Bronze 受賞店,炭火焼 ゆうじ,渋谷駅 607m , ホルモン、焼肉,丁寧な処理、味付けの妙もさる事ながら、味の配分への気遣いを感じさせるコースも圧巻,"￥6,000～￥7,999","￥6,000～￥7,999",4.01,日曜日、祝日,https://tabelog.com/tokyo/A1303/A130301/13001794/,予約可,①16：00の開店時より18時まで②18：00より予約は①②の二部制、2名より,渋谷駅から徒歩10分ほど、東急ハンズ近く 渋谷駅から607m,,,カード不可 電子マネー不可 QRコード決済不可,"35.662598494095825,139.69735090108284",03-3464-6448,東京都渋谷区宇田川町11-1 松沼ビル　１Ｆ,1781,yakiniku
The Tabelog Award 2024 Bronze 受賞店,SATOブリアン 本店,阿佐ケ谷駅 136m , 焼肉,2024年12月お席わずかになりました≫公式サイトよりお早めにご予約下さい！,"￥15,000～￥19,999","￥15,000～￥19,999",3.99,月曜日,https://tabelog.com/tokyo/A1319/A131905/13127046/,完全予約制,■ご予約受付方法SATOブリアン本店、にごう、さんごう、サトブリDA、SATOブリアン昼ブリのご予約は、ネット予約での受付になりますので各店舗ページに記載されておりますホームページリンクよりご予約をお願い致します。,阿佐ヶ谷駅南口 徒歩2分■ご予約人数とコースSATOブリアン本店は2〜6名様迄、にごう店のご予約は2名～最大8名様迄とさせて頂きます。 宴会コースは、￥13000〜￥23000迄となっており【SATOブリアン店長おまかせコース】をご要望にあわせてご用意。 阿佐ケ谷駅から136m,14:30 - 22:00,■ 定休日3月のお休み▷4、11、12、13、17、18、25、,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.70462813865906,139.63423648471345",03-6915-1638,東京都杉並区阿佐谷南3-44-2 新井ビル　1F,925,yakiniku
The Tabelog Award 2024 Bronze 受賞店,SATOブリアン さんごう,阿佐ケ谷駅 451m , 焼肉,★11月8日、13日11:45よりお席空きがございます。▶公式サイトよりご予約下さいませ。,-,-,3.96,月曜日,https://tabelog.com/tokyo/A1319/A131905/13223460/,予約可,,阿佐ヶ谷駅北口より徒歩５分 阿佐ケ谷駅から451m,11:45 - 15:45,■ 営業時間2部制で営業しております。1部11：45〜13:302部14:00〜15:45■ 定休日公式予約サイトでご確認下さい。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.70893579209829,139.635574731467",03-6383-0338,東京都杉並区阿佐ヶ谷北1-37-6 1F,242,yakiniku
The Tabelog Award 2024 Bronze 受賞店,西麻布 焼肉 X,六本木駅 456m , 焼肉、牛タン,ラグジュアリーの極みを目指して ～ 専任の焼き氏が焼き上げる焼肉ガストロノミーレストラン ～,"￥40,000～￥49,999","￥40,000～￥49,999",3.95,,https://tabelog.com/tokyo/A1307/A130701/13233427/,完全予約制,◆予約日の三日前からのキャンセル、人数減、連絡がつかない場合等々、予約料金の100％をキャンセル料として頂戴します※特別コース等、別途キャンセル規約有り◆ご予約は最低2名様からの承り◆予約画面の「お店からのご質問 1」回答欄に　『食べログを見た』と記入ください【お電話でのご予約・お問合せ】営業日13:00～21：00の間※状況により留守番電話となる場合有り,◆東京メトロ日比谷線　六本木駅（4b出口）より徒歩  約8分　　　　　　　　※六本木駅４ｂ出口を出て、約200m直進　　　　　　　　　六本木6丁目交差点を右折、約100m直進し階段を降り　　　　　　　　　道路を渡った後、最初の角を左折し、約150m直進、左手に当店　　　　　　　　　（「焼肉とうがらし」横のマンション）◆東京メトロ千代田線　乃木坂駅（５番出口）より徒歩  約8分 六本木駅から456m,17:00 - 23:30L.O. 21:00,■ 定休日日曜日、年末年始休業,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.662195238715306,139.72623338422034",03-5786-1129,東京都港区西麻布1-4-46 カーサスプレンディッド西麻布 B1F,487,yakiniku
食べログ 焼肉 TOKYO 百名店 2024 選出店,焼肉 ジャンボ 篠崎本店,江戸川区 , 焼肉、ホルモン,創業以来こだわり続ける厳選黒毛和牛の希少部位がここに！予約必至の言わずと知れた人気店！,"￥8,000～￥9,999","￥8,000～￥9,999",3.93,-,https://tabelog.com/tokyo/A1312/A131205/13003075/,予約可,・一組2時間まで・連絡無しに30分以上遅れた場合はキャンセル扱い,"バスは「新町商店街入口」下車、目の前。　・都営新宿線 篠崎駅発（京成バス）　　「新小71」瑞江駅行き　・都営新宿線 瑞江駅発（京成バス）　　「小72」小岩駅行き　　「新小71」篠崎駅行き　　「小73」「小76」江戸川営業所・江戸川スポーツランド行き　・JR総武線 小岩駅発（京成バス）　　「小72」瑞江駅行き東西線では妙典駅から歩いて30分。。（江戸川を迂回するため） 篠崎駅から1,103m",17:00 - 23:00L.O. 22:30,■ 定休日不定休,カード可 （VISA、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.698527638751365,139.91188778445718",03-3679-8929,東京都江戸川区篠崎町4-13-19 ,752,yakiniku
食べログ 焼肉 TOKYO 百名店 2024 選出店,焼肉幸泉,京成立石駅 32m , 焼肉,,"￥6,000～￥7,999","￥6,000～￥7,999",3.92,-,https://tabelog.com/tokyo/A1324/A132403/13133997/,予約可,電話可能な時間帯：17:00〜24:00インスタグラム(@yakiniku.kousen)のDMからも受け付けております。,京成線立石駅より立石仲見世通りに向かって徒歩1分 京成立石駅から32m,,,カード不可 電子マネー不可 QRコード決済不可,"35.7381572387061,139.8488012849017",03-3694-7316,東京都葛飾区立石1-18-5 ,333,yakiniku
食べログ 焼肉 TOKYO 百名店 2024 選出店,東京園,東銀座駅 193m , 焼肉,,"￥8,000～￥9,999","￥8,000～￥9,999",3.92,-,https://tabelog.com/tokyo/A1301/A130101/13002566/,完全予約制,,都営浅草線、東銀座駅下車徒歩3分 東銀座駅から193m,,,カード不可 電子マネー不可 QRコード決済不可,"35.67029163872271,139.7656258842745",03-3571-1680,東京都中央区銀座5-9-5 ,317,yakiniku
食べログ 焼肉 TOKYO 百名店 2024 選出店,焼肉 思食,赤坂見附駅 135m , 焼肉、イノベーティブ、韓国料理,【赤坂見附3分】焼肉の既成概念をブチ壊す 進化系 焼肉レストラン！,"￥20,000～￥29,999","￥20,000～￥29,999",3.91,,https://tabelog.com/tokyo/A1308/A130801/13247485/,完全予約制,※食べログweb予約ではお席の指定並び個室利用のリクエストは受け付けておりません※ご予約のお時間を過ぎてご連絡が取れない場合はキャンセル扱いとさせていただく場合がございます。※苦手な部位がある方、特に内臓全般が苦手な方は、特記などでご連絡ない場合はご対応いたしかねる場合がございます。お連れの方へもご確認をお願い致します。,東京メトロ銀座線・丸ノ内線【赤坂見附駅】徒歩3分東京メトロ千代田線【赤坂駅】徒歩5分 赤坂見附駅から135m,17:00 - 23:00,■ 営業時間ご予約の人数に関して食べログweb予約では2名様のご予約のみ受付けております。それ以外の人数でご利用希望の方は、他の媒体をご利用ください。個室のご予約等に関して食べログweb予約では個室利用のご予約は受け付けておりません。個室利用希望の方は他の媒体をご利用ください。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.67567183870999,139.73639788434932",03-5544-8475,東京都港区赤坂3-19-5 ,333,yakiniku
食べログ 焼肉 TOKYO 百名店 2024 選出店,うし松,広尾駅 598m , 焼肉、牛タン、ホルモン,本物の焼肉を求めたスペシャリストたちによる、最高の”旨い”,"￥10,000～￥14,999","￥10,000～￥14,999",3.89,-,https://tabelog.com/tokyo/A1307/A130703/13242515/,予約可,[予約受付時間]14:00〜23:00,広尾駅より徒歩7分 広尾駅から598m,17:00 - 23:00L.O. 22:30,■ 定休日年末年始,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.65705043871788,139.7240336841699",03-6459-2329,東京都港区西麻布3-13-14 LA・RES 西麻布 B1F,849,yakiniku
食べログ 焼肉 TOKYO 百名店 2024 選出店,SATOブリアン七番,阿佐ケ谷駅 179m , 焼肉,11月21日より12月予約受付開始です≫SATOブリアン専用公式サイトよりご予約受付します,"￥15,000～￥19,999","￥15,000～￥19,999",3.88,土曜日、日曜日,https://tabelog.com/tokyo/A1319/A131905/13267452/,予約可,,本店から徒歩１分阿佐ヶ谷駅北口から徒歩３分 阿佐ケ谷駅から179m,12:00 - 13:30,■ 定休日公式サイトでご確認下さい,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.70494202060497,139.6337425675085",03-6383-0730,東京都杉並区阿佐谷北2-3-2 BMビル,70,yakiniku
食べログ 焼肉 TOKYO 百名店 2024 選出店,焼肉 鶯谷園,鶯谷駅 146m , 焼肉、ホルモン,,"￥6,000～￥7,999","￥6,000～￥7,999",3.85,-,https://tabelog.com/tokyo/A1311/A131104/13012243/,完全予約制,,JR山手線・京浜東北線「鶯谷駅」北口より徒歩３~4分 鶯谷駅から146m,,,カード不可 電子マネー不可 QRコード決済不可,"35.72235523869401,139.77934428479077",03-3874-8717,東京都台東区根岸1-5-15 ,2967,yakiniku
食べログ 焼肉 TOKYO 百名店 2024 選出店,The INNOCENT CARVERY,乃木坂駅 571m , 焼肉、牛料理,~選び抜かれた最高の和牛を最高の焼き加減で~,"￥20,000～￥29,999","￥20,000～￥29,999",3.85,,https://tabelog.com/tokyo/A1307/A130701/13189539/,予約可,,東京メトロ千代田線　乃木坂駅徒歩5分都営地下鉄大江戸線　六本木駅徒歩１０分 乃木坂駅から571m,17:00 - 23:00L.O. 22:00,■ 定休日月曜日定休(祝日の場合営業、翌火曜日休）,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.661934738714685,139.72374238421943",03-5411-2911,東京都港区西麻布1-4-28 カルハ西麻布 101,667,yakiniku
The Tabelog Award 2024 Bronze 受賞店,USHIGORO S. NISHIAZABU,乃木坂駅 805m , 焼肉,【お知らせ】11月より土日祝日のランチ営業を始めます,"￥20,000～￥29,999","￥20,000～￥29,999",3.83,,https://tabelog.com/tokyo/A1307/A130701/13209611/,予約可,■4名様以上のご予約をおすすめしております。■表示価格に10％のサービス料と消費税を頂戴いたします。,都営大江戸線 六本木駅2番出口より徒歩8分東京メトロ 日比谷線六本木駅2番出口より徒歩8分東京メトロ 日比谷線広尾駅3番出口より徒歩8分東京メトロ 千代田線乃木坂駅5番出口より徒歩6分 乃木坂駅から805m,16:00 - 23:30,■ 定休日12/31・1/1・１/2・1/3,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.660056538715494,139.72254178420133",03-6419-4129,東京都港区西麻布2-24-14 バルビゾン73 B1F,508,yakiniku
食べログ 焼肉 TOKYO 百名店 2024 選出店,焼肉 ジャンボ 本郷店,本郷三丁目駅 220m , 焼肉,厳選された黒毛和牛だけが上ることを許されたステージで、瞬きする隙もなく焼き上がる絶品焼肉！,"￥10,000～￥14,999","￥10,000～￥14,999",3.78,-,https://tabelog.com/tokyo/A1310/A131004/13110601/,予約可,,メトロ丸ノ内線・都営大江戸線「本郷三丁目駅」より徒歩4～5分 本郷三丁目駅から220m,17:00 - 23:00,■ 定休日不定休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可,"35.70668583869863,139.76261468464423",03-5689-8929,東京都文京区本郷3-38-1 本郷信徳ビル 1F,1123,yakiniku
食べログ ステーキ・鉄板焼き EAST 百名店 2024 選出店,中勢以 小石川店,茗荷谷駅 343m , ステーキ、ハンバーグ、焼肉,【茗荷谷駅徒歩6分 播磨坂沿い】2024X'masご予約受付開始しました,"￥10,000～￥14,999","￥10,000～￥14,999",3.76,,https://tabelog.com/tokyo/A1323/A132302/13152057/,予約可,,東京メトロ　丸ノ内線　茗荷谷駅から343m（徒歩6分）播磨坂沿い 茗荷谷駅から343m,11:30 - 15:00L.O. 料理14:00 ドリンク14:30,■ 定休日年末年始,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.71615463354667,139.74067400394793",03-3830-0490,東京都文京区小石川5-10-18 ,756,yakiniku
,羊SUNRISE,麻布十番駅 192m , ジンギスカン、焼肉、鉄板焼き,『国内産羊肉』が味わえる全国有数の店～職人が丁寧に焼き上げる絶品ジンギスカンをご堪能下さい,"￥10,000～￥14,999","￥10,000～￥14,999",3.76,日曜日,https://tabelog.com/tokyo/A1307/A130702/13202705/,予約可,御予約は、ウェブ予約の「トレタ」にて賜ります。ご予約のお時間の変更や、キャンセル等につきましては予約完了後に送信されるメールにて変更可能です。尚、営業時間内であれば、店舗へ直接の電話連絡でも変更が可能となります。※ご予約内容の変更やお問い合わせについてはお手数をお掛けしますが、info@sheepsunrise.jpまでご連絡頂けると幸いです。,麻布十番駅徒歩3分 麻布十番駅から192m,17:00 - 23:00L.O. 22:30,■ 定休日第1・第3 土曜日,カード可 電子マネー不可 QRコード決済不可,"35.65479883872309,139.73591048413886",03-6809-3953,東京都港区麻布十番2-19-10 PIA麻布十番2 3F,613,yakiniku
食べログ 焼肉 TOKYO 百名店 2024 選出店,誇味山,乃木坂駅 643m , 焼肉,【西麻布】店主が目利きした一頭買いの黒毛和牛。極上の味わいを厳選ワインと共に。接待にも。,"￥20,000～￥29,999","￥20,000～￥29,999",3.76,日曜日、祝日,https://tabelog.com/tokyo/A1307/A130701/13230924/,完全予約制,◆15時～18時は比較的、お電話が繋がりやすい時間となっております。◆キャンセルのご連絡は2日までにお願い致します。◆無断キャンセルの場合は、キャンセル料としてコース料金100％頂戴致します。,乃木坂駅　徒歩5分六本木駅　徒歩10分表参道駅　徒歩12分 乃木坂駅から643m,17:00 - 00:00,■ 営業時間仕入れ状況により変わることがございます,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,"35.661659238714506,139.72267168421737",03-6434-9729,東京都港区西麻布1丁目15-9 ラ・アルタ西麻布1F,233,yakiniku
食べログ 焼肉 TOKYO 百名店 2024 選出店,在市 月島本店,月島駅 299m , ホルモン、焼肉,名門飛騨高山の『飛騨牛』と元祖『ごちゃまぜ焼』,"￥4,000～￥4,999","￥4,000～￥4,999",3.75,-,https://tabelog.com/tokyo/A1313/A131302/13095398/,予約可,,有楽町線　　　　月島駅　１０番出口より徒歩１分都営大江戸線　月島駅　１０番出口より徒歩１分 月島駅から299m,17:00 - 01:00L.O. 00:00,"■ 定休日無し（ただし、月により変動があるためお知らせ欄を参照願います。）インスタの投稿文面《当日のキャンセル、無断キャンセルについてのお知らせ》日頃のご愛顧、誠にありがとうございます。キャンセル料についてのお知らせをさせて頂きます。当日のキャンセルとノーショーにつきまして、お一人様5,000円のキャンセル料を頂きます。キャンセルされる場合は必ず、前日までのご連絡をお願い致します。ご連絡して頂くのも面倒かとは思いますが、何卒ご理解の程、宜しくお願い致します。",カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.66227533873332,139.78297878418135",03-6228-2738,"東京都中央区月島2-14-8 AMビル1,2F",1176,yakiniku
食べログ 焼肉 TOKYO 百名店 2024 選出店,焼肉くにもと 新館,浜松町駅 175m , 焼肉,7月の休みを更新しました。,"￥10,000～￥14,999","￥10,000～￥14,999",3.75,月曜日,https://tabelog.com/tokyo/A1314/A131401/13035852/,完全予約制,,JR線・東京モノレール→浜松町駅都営浅草線・大江戸線→大門駅※JR線浜松町南口改札を出て突き当たり右、貿易センタービル方面へエスカレーターから徒歩2分 浜松町駅から175m,17:00 - 22:00,■ 定休日月曜祝日の場合でも休み・隔週で日曜日休み。3月の定休日3日、4日、11日、17日、18日、25日、31日4月の定休日8日、14日、15日、22日、28日、29日,カード不可 電子マネー不可 QRコード決済不可,"35.65399543872989,139.75568448411687",03-3435-7605,東京都港区浜松町2-8-9 カノウビル　１Ｆ,514,yakiniku
食べログ 焼肉 TOKYO 百名店 2024 選出店,USHIGORO S. SHINJUKU,新宿三丁目駅 178m , 焼肉、日本料理、ステーキ,全席完全個室、すべてにこだわり抜いた”うしごろ”の最高峰ブランド,"￥20,000～￥29,999","￥20,000～￥29,999",3.75,,https://tabelog.com/tokyo/A1304/A130401/13268688/,予約可,,東京メトロ 丸の内線 新宿三丁目駅 B9出口0分JR山手線 新宿駅 東口 3分新宿三丁目駅から178m 新宿三丁目駅から178m,17:00 - 23:30L.O. 21:00,■ 定休日12/31・1/1・１/2・1/3,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.69211393868882,139.702768284539",03-3341-1129,東京都新宿区新宿3-17-10 HULIC & New SHINJUKU 11F,307,yakiniku
The Tabelog Award 2024 Bronze 受賞店,サトブリDA,阿佐ケ谷駅 101m , 焼肉,選ばれしものだけが味わえる、至福の和牛体験。,"￥20,000～￥29,999","￥20,000～￥29,999",3.75,月曜日,https://tabelog.com/tokyo/A1319/A131905/13216529/,完全予約制,※ご予約完了後の人数変更・キャンセルは出来ません。キャンセル料はコース料金の100%頂きます。,阿佐ヶ谷駅徒歩１分 阿佐ケ谷駅から101m,18:30 - 21:00,■ 営業時間18:30～21:00まで■ 定休日不定休,カード可 （VISA、Master、Diners） 電子マネー不可 QRコード決済不可,"35.704737038659104,139.63461568471425",03-5356-8129,東京都杉並区阿佐谷南3-57-1 ,159,yakiniku
食べログ 焼肉 TOKYO 百名店 2024 選出店,本とさや,浅草（つくばＥＸＰ）駅 60m , 焼肉、ホルモン、すっぽん,,"￥8,000～￥9,999","￥8,000～￥9,999",3.74,-,https://tabelog.com/tokyo/A1311/A131102/13003711/,予約可,,東京メトロ銀座線「田原町」駅より徒歩7分つくばエキスプレス「浅草」駅A2出口より徒歩1分 浅草駅（つくばＥＸＰ）から60m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.71437153870312,139.79200798470126",03-3845-0138,東京都台東区西浅草3-1-9 ,1526,yakiniku
食べログ 焼肉 TOKYO 百名店 2024 選出店,焼肉うしごろ 銀座並木通り店,銀座駅 138m , 焼肉、ステーキ、ホルモン,【11/27(水)空席残り僅かで御座います】 圧倒的な“肉力”で食後の感動をお約束致します。,"￥10,000～￥14,999","￥10,000～￥14,999",3.74,,https://tabelog.com/tokyo/A1301/A130101/13226719/,予約可,,東京メトロ 日比谷線、銀座線、丸ノ内線銀座駅B5-B6番出口より徒歩2分東京メトロ 日比谷線、浅草線東銀座駅A1番出口より徒歩6分JR有楽町駅、中央口より徒歩7分JR新橋駅、銀座口より徒歩7分 銀座駅から138m,17:00 - 23:30L.O. 22:30,■ 定休日12/31・1/1・１/2・1/3,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.67136773872111,139.76276708428736",03-3572-1129,東京都中央区銀座5-4-9 ニュー銀座ビル 7F,1246,yakiniku
