awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review,type,visited,latitude,longitude,broad_genre
食べログ うなぎ 百名店 2024 選出店,銀座 四代目 高橋屋 銀座店,東銀座駅 107m , うなぎ、日本料理,,"￥8,000～￥9,999","￥8,000～￥9,999",3.7,,https://tabelog.com/tokyo/A1301/A130101/13262334/,予約可,"ご予約 無しでも お気軽に！ミシュラン  ガイド  東京 セレクテッド レストラン満席の場合、携帯番号をお伝えください。◆オススメ◆うな丼御膳. 5,000円割きたて重御膳. 8,000円（人気料理）※ うなぎは「青うなぎ使用」※ 米は「ハザ掛け米 使用」※ 三井財閥「 料亭・松の茶屋 」と「 銀座・小十 」をベースにした うなぎ料理店。",銀座駅徒歩 4分.東銀座駅徒歩 1分.歌舞伎座楽屋口隣歌舞伎座 駐車場すぐ. 東銀座駅から107m,11:30 - 16:00L.O. 料理15:00 ドリンク15:30,■ 定休日毎週月曜日第ニ、月曜日・火曜日、第三、月曜日・火曜日、,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.67018363792547,139.76793524538203",03-3547-0021,東京都中央区銀座4-12-1 ＶＯＲＴ銀座イーストⅡビル 4F,204,unagi,False,35.67018363792547,139.76793524538203,unagi
食べログ うなぎ 百名店 2024 選出店,山の茶屋,赤坂見附駅 297m , うなぎ,,"￥15,000～￥19,999","￥15,000～￥19,999",3.7,日曜日、祝日,https://tabelog.com/tokyo/A1308/A130802/13002739/,完全予約制,完全予約制　【予約受付時間：ＡＭ９：００～ＰＭ２０：００】席、個室、料理の予約はＴＥＬにて店舗へお問い合わせください。,千代田線 国会議事堂前駅（５番出口）徒歩３分銀座線・南北線 溜池山王駅（５番出口）徒歩３分丸の内線 赤坂見附駅（１０番出口）徒歩６分丸の内線 国会議事堂前駅（１番出口）徒歩４分有楽町線・半蔵門線 永田町駅（６番出口）徒歩１０分日比谷高校側の通りに店舗正面入り口があります。 赤坂見附駅から297m,,,カード可 （JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （d払い）,"35.675323638711355,139.74003888434328",03-3581-0585,東京都千代田区永田町2-10-6 ,185,unagi,False,35.675323638711355,139.74003888434328,unagi
食べログ うなぎ 百名店 2024 選出店,小満津,東高円寺駅 303m , うなぎ,,"￥10,000～￥14,999","￥10,000～￥14,999",3.7,月曜日,https://tabelog.com/tokyo/A1319/A131904/13001079/,完全予約制,前日までに要予約,地下鉄東高円寺駅徒歩5分 東高円寺駅から303m,,,カード可 （AMEX） 電子マネー不可,"35.69732143867236,139.66142758462058",080-8734-1091,東京都杉並区和田3-62-3 １Ｆ,100,unagi,False,35.69732143867236,139.66142758462058,unagi
食べログ うなぎ 百名店 2024 選出店,神泉いちのや,神泉駅 199m , うなぎ,,"￥10,000～￥14,999","￥10,000～￥14,999",3.69,月曜日,https://tabelog.com/tokyo/A1303/A130301/13004659/,予約可,,京王井の頭線【神泉駅】徒歩３分東京メトロ半蔵門線、東急田園都市線【渋谷駅】徒歩12分ＪＲ山手線【渋谷駅】ハチ公口　徒歩14分 神泉駅から199m,11:30 - 14:00,■ 定休日月曜祝日は営業、その際は翌日火曜休み,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.65706603870748,139.6914239841929",03-5459-6862,東京都渋谷区神泉町20-22 神泉ハイツ 1F,610,unagi,False,35.65706603870748,139.6914239841929,unagi
食べログ うなぎ 百名店 2024 選出店,うなぎ秋本,麹町駅 62m , うなぎ、日本料理、どじょう,,"￥8,000～￥9,999","￥8,000～￥9,999",3.69,日曜日、祝日,https://tabelog.com/tokyo/A1308/A130803/13000415/,予約可,ご予約はお電話でご連絡下さい。,東京メトロ有楽町線【麹町駅】徒歩１分ＪＲ中央線【四ツ谷駅】徒歩10分東京メトロ丸ノ内線・南北線【四ツ谷駅】徒歩11分 麹町駅から62m,11:30 - 14:30L.O. 14:00,■ 定休日第2土曜日,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.68470460843233,139.73748543899666",03-3261-6762,東京都千代田区麹町3-4-4 ,533,unagi,False,35.68470460843233,139.73748543899666,unagi
食べログ うなぎ 百名店 2024 選出店,うなぎ 丸富,青物横丁駅 215m , うなぎ、丼、居酒屋,,"￥3,000～￥3,999","￥3,000～￥3,999",3.69,水曜日、日曜日,https://tabelog.com/tokyo/A1315/A131501/13026638/,予約不可,,京浜急行線青物横丁駅徒歩3分 青物横丁駅から215m,,,カード不可 電子マネー不可 QRコード決済不可,"35.610687038753845,139.74453498368723",03-3474-4382,東京都品川区南品川3-6-2 ,442,unagi,False,35.610687038753845,139.74453498368723,unagi
,鰻はし本,東京駅 357m , うなぎ、日本料理、丼,,"￥10,000～￥14,999","￥10,000～￥14,999",3.69,日曜日、祝日,https://tabelog.com/tokyo/A1302/A130201/13278450/,,,JR東京駅から徒歩３分日本橋駅から3分 東京駅から357m,11:00 - 14:30L.O. 13:30,"■ 営業時間[土]※第2,４土曜日お昼のみ営業■ 定休日第1,3土曜日・土用丑の日・お盆・年末年始",カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、iD、QUICPay） QRコード決済可 （PayPay）,"35.680303246689434,139.77115229925502",,東京都中央区日本橋3-3-3 いづみやビル 1F,209,unagi,False,35.680303246689434,139.77115229925502,unagi
,鈴木,調布駅 162m , うなぎ,,"￥10,000～￥14,999","￥10,000～￥14,999",3.67,-,https://tabelog.com/tokyo/A1326/A132601/13005981/,予約可,,京王線調布駅から徒歩2-3分 調布駅から162m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,"35.65171013866471,139.54644758424044",050-3177-4055,東京都調布市布田1-50-1 マートルコート調布第３,280,unagi,False,35.65171013866471,139.54644758424044,unagi
食べログ うなぎ 百名店 2024 選出店,うなぎ 平八,田園調布駅 60m , うなぎ,,"￥4,000～￥4,999","￥4,000～￥4,999",3.67,月曜日、火曜日,https://tabelog.com/tokyo/A1317/A131704/13017676/,予約可,,田園調布駅1分 田園調布駅から60m,,,カード不可 電子マネー不可 QRコード決済不可,"35.59709483873804,139.66778328360374",03-3722-0198,東京都大田区田園調布2-50-2 ,272,unagi,False,35.59709483873804,139.66778328360374,unagi
,川栄,赤羽駅 264m , うなぎ、鳥料理,定休日、営業時間のお知らせ。,"￥4,000～￥4,999","￥4,000～￥4,999",3.66,水曜日、日曜日,https://tabelog.com/tokyo/A1323/A132305/13008753/,予約可,当日ご予約可能でございます。昼:10時30分、夜:16時迄。注意:店内で飲食の際は鰻は1人1枚の注文必須です。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,ＪＲ埼京線・京浜東北線【赤羽駅】東口　徒歩３分東京メトロ南北線、埼玉高速鉄道【赤羽岩淵駅】徒歩６分 赤羽駅から264m,11:30 - 14:00L.O. 13:30,■ 営業時間※当日予約は昼:10時30分、夜:16時迄出前も受付ておりますので、ぜひご利用下さい。エリアにつきましては、お問い合わせ下さい。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,"35.7800774386385,139.72019088541526",03-3901-3729,東京都北区赤羽1-19-16 ,777,unagi,False,35.7800774386385,139.72019088541526,unagi
,八ツ目や にしむら 目黒店,不動前駅 418m , うなぎ,,"￥4,000～￥4,999","￥4,000～￥4,999",3.66,-,https://tabelog.com/tokyo/A1317/A131710/13018295/,予約不可,,不動前から徒歩１０分 不動前駅から418m,,,カード不可 電子マネー不可 QRコード決済可 （PayPay）,"35.62692583873221,139.70896578387618",03-3713-6548,東京都目黒区下目黒3-13-10 ,550,unagi,False,35.62692583873221,139.70896578387618,unagi
,神田きくかわ 日比谷店,日比谷駅 250m , うなぎ、日本料理、海鮮,,"￥5,000～￥5,999","￥5,000～￥5,999",3.66,日曜日,https://tabelog.com/tokyo/A1301/A130102/13000134/,,,都営地下鉄三田線日比谷駅徒歩3分 日比谷駅から250m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.676682738717105,139.76074908434248",,東京都千代田区丸の内3-1-1 帝劇ビル B2F,510,unagi,False,35.676682738717105,139.76074908434248,unagi
食べログ うなぎ 百名店 2024 選出店,うなぎ 目白ぞろ芽,目白駅 129m , うなぎ,＜目白駅近く＞“幻”の【共水うなぎ提供店】,"￥5,000～￥5,999","￥5,000～￥5,999",3.66,,https://tabelog.com/tokyo/A1305/A130502/13224277/,予約可,,JR山手線「目白駅」より徒歩1分 目白駅から129m,,,カード可 （VISA、Master） 電子マネー不可,"35.721580797103535,139.70639156896206",050-1809-2201,東京都豊島区目白3-3-1 目白スクエアビルB1F ,422,unagi,False,35.721580797103535,139.70639156896206,unagi
